city,latitude,longitude,temperature,humidity,cloudiness,wind speed
cordoba,-31.41,-64.18,71.37,60,overcast clouds,18.34
great yarmouth,52.61,1.73,48.79,87,few clouds,12.75
adilcevaz,38.8,42.73,41.0,93,scattered clouds,1.25
bollnas,61.35,16.39,27.48,56,clear sky,6.89
aswan,24.09,32.91,68.88,28,clear sky,9.44
homer,59.64,-151.55,21.18,73,clear sky,4.7
yulara,-25.24,130.99,77.0,31,clear sky,12.75
abu samrah,35.3,37.18,55.74,76,few clouds,4.23
nioro,13.35,-15.75,101.82,7,clear sky,10.33
mahajanga,-15.72,46.32,84.2,79,scattered clouds,5.82
mount isa,-20.73,139.5,73.4,46,broken clouds,6.93
fort nelson,58.81,-122.7,3.2,49,few clouds,5.82
carballo,43.21,-8.69,53.11,81,few clouds,4.7
cowra,-33.83,148.68,44.01,89,clear sky,1.01
bloomsburg,41.0,-76.45,49.55,36,clear sky,4.7
norsup,-16.07,167.38,77.0,100,light intensity shower rain,5.82
kilemary,56.78,46.87,34.14,87,overcast clouds,5.17
longyearbyen,78.22,15.64,-0.4,49,scattered clouds,17.22
lobito,-12.35,13.55,80.22,76,broken clouds,1.9
ishigaki,24.34,124.16,62.4,66,broken clouds,23.02
mount gambier,-37.83,140.77,53.6,81,overcast clouds,6.93
beira,-19.84,34.84,77.0,88,few clouds,5.82
general bravo,25.8,-99.17,86.34,44,overcast clouds,21.25
kautokeino,69.01,23.04,11.46,89,broken clouds,17.07
goderich,43.75,-81.72,32.13,79,overcast clouds,12.95
coihaique,-45.58,-72.07,62.87,45,scattered clouds,8.05
tahlequah,35.92,-94.97,47.64,100,overcast clouds,4.34
souris,49.62,-100.26,12.2,66,scattered clouds,14.99
kungur,57.44,56.96,29.46,95,light snow,8.32
kamina,-8.74,24.99,67.26,98,moderate rain,2.57
bokoro,12.38,17.06,81.48,10,clear sky,10.4
murray bridge,-35.12,139.27,52.97,87,clear sky,7.31
phalaborwa,-23.94,31.14,82.2,48,clear sky,6.26
bagdarin,54.43,113.6,5.52,84,clear sky,2.21
ostrovnoy,68.05,39.51,17.22,79,light snow,12.37
swellendam,-34.02,20.44,68.0,72,light rain,8.05
tuatapere,-46.13,167.68,51.01,86,overcast clouds,1.01
amarkantak,22.67,81.75,67.98,84,clear sky,1.54
tifton,31.45,-83.51,82.54,48,broken clouds,4.7
natal,-5.79,-35.21,84.88,70,scattered clouds,10.29
pahrump,36.21,-115.98,58.39,47,overcast clouds,12.75
quelimane,-17.88,36.89,77.88,80,scattered clouds,5.26
stanghelle,60.55,5.74,37.58,64,shower rain,23.04
knysna,-34.04,23.05,66.2,88,broken clouds,3.36
kaseda,31.42,130.32,42.01,60,clear sky,11.99
rochegda,62.8,43.25,10.56,94,broken clouds,5.19
alofi,-19.06,-169.92,82.4,88,light rain,5.82
pringsewu,-5.36,104.97,72.84,97,moderate rain,3.06
tres arroyos,-38.37,-60.28,73.92,35,clear sky,15.14
monteagudo,-19.82,-63.98,98.6,25,few clouds,11.41
jumla,29.27,82.18,30.36,98,snow,2.13
mananjary,-21.22,48.33,79.32,83,light rain,11.81
chumikan,54.72,135.31,0.12,82,broken clouds,5.79
okoneshnikovo,54.84,75.08,34.68,91,overcast clouds,17.63
asfi,32.3,-9.24,58.98,76,overcast clouds,12.12
camacupa,-12.02,17.48,64.74,97,light rain,4.34
tiarei,-17.53,-149.33,86.0,70,few clouds,5.82
kiunga,-6.12,141.29,73.2,99,moderate rain,1.03
ulladulla,-35.35,150.47,52.25,58,light rain,11.41
jaguaruna,-28.61,-49.03,89.76,41,clear sky,7.16
herat,34.5,62.0,53.6,46,broken clouds,3.36
yaan,7.38,8.57,90.84,10,scattered clouds,4.14
kalmunai,7.42,81.82,81.48,73,broken clouds,10.92
pangnirtung,66.15,-65.71,-22.0,61,clear sky,4.65
kenai,60.55,-151.26,13.33,78,clear sky,5.82
tabas,33.6,56.92,66.2,11,few clouds,2.24
tawau,4.25,117.89,75.15,94,few clouds,3.36
maxixe,-23.86,35.35,78.8,83,few clouds,10.2
drumheller,51.46,-112.71,1.0,82,light snow,15.99
coronado,32.69,-117.18,59.4,72,scattered clouds,5.82
buluang,13.31,123.34,68.88,93,overcast clouds,2.95
bandarbeyla,9.49,50.81,78.78,81,clear sky,14.7
japura,-0.32,102.35,72.84,97,few clouds,2.13
srikakulam,18.3,83.9,74.64,81,clear sky,1.7
itarema,-2.92,-39.92,85.08,73,light rain,9.19
svetlogorsk,52.63,29.73,30.54,55,broken clouds,14.79
